Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
58905MM,NY,COM,8836265261,10/05/2020,12:24P,CROSSWALK,,115.00,0.00,0.00,15.00,100.00,0.00,041,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPVkVreVRWRTlQUT09&locationName=_____________________)
KPX5913,NY,PAS,4018340679,07/22/2021,04:54P,BUS LANE VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkZrelQxRTlQUT09&locationName=_____________________)
2CN4270,AL,PAS,4018340813,07/17/2021,09:20P,BUS LANE VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkdkNFRYYzlQUT09&locationName=_____________________)
E43MPW,NJ,PAS,4018340850,07/18/2021,06:24P,BUS LANE VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkdjeFRVRTlQUT09&locationName=_____________________)
HKM7046,NY,PAS,1438401711,06/01/2018,11:28P,NO STANDING-EXC. AUTH. VEHICLE,,95.00,10.00,0.00,0.00,0.00,105.00,094,,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROVkdONFRWRTlQUT09&locationName=_____________________)
V13HWK,NJ,PAS,8488556421,10/28/2017,05:24P,FAIL TO DSPLY MUNI METER RECPT,02/22/2018,65.00,60.00,43.36,0.00,0.00,168.36,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPYWxGNVRWRTlQUT09&locationName=_____________________)
20324TC,NY,TRC,8488556512,10/30/2017,03:47P,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,0.00,115.00,017,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPYWxWNFRXYzlQUT09&locationName=_____________________)
71923ME,NY,COM,8488556627,11/01/2017,01:33P,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,0.00,115.00,010,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPYWxsNVRuYzlQUT09&locationName=_____________________)
20332TC,NY,TRC,8488556925,11/02/2017,02:37P,FAIL TO DISP. MUNI METER RECPT,,65.00,0.00,0.00,0.00,0.00,65.00,013,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPYW10NVRsRTlQUT09&locationName=_____________________)
99822MB,NY,COM,8488557024,11/03/2017,01:18P,FAIL TO DSPLY MUNI METER RECPT,02/22/2018,65.00,60.00,43.32,0.00,0.00,168.32,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPZWtGNVRrRTlQUT09&locationName=_____________________)
99822MB,NY,COM,8488557036,11/03/2017,01:19P,PLTFRM LFTS LWRD POS COMM VEH,02/22/2018,65.00,60.00,43.32,0.00,0.00,168.32,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPZWtGNlRtYzlQUT09&locationName=_____________________)
HVN5087,TX,PAS,8488557243,11/06/2017,02:46P,NO STANDING-COMM METER ZONE,02/22/2018,115.00,60.00,60.39,0.00,0.00,235.39,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPZWtrd1RYYzlQUT09&locationName=_____________________)
HGD7023,NY,PAS,8488557450,11/08/2017,05:29P,OBSTRUCTING TRAFFIC/INTERSECT,02/22/2018,115.00,60.00,60.39,0.00,0.00,235.39,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPZWxFeFRVRTlQUT09&locationName=_____________________)
XCXA31,NJ,PAS,8488557528,11/09/2017,01:13P,NO STANDING-DAY/TIME LIMITS,03/15/2018,115.00,60.00,58.29,0.00,0.00,233.29,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPZWxWNVQwRTlQUT09&locationName=_____________________)
