Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
HTV5742,NY,PAS,1438401516,04/21/2018,09:56P,FIRE HYDRANT,,115.00,10.00,0.00,0.00,0.00,125.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROVkZWNFRtYzlQUT09&locationName=_____________________)
7AVAE6,CT,PAS,8488553705,10/09/2017,03:46P,NO STANDING-COMM METER ZONE,01/25/2018,115.00,60.00,60.40,0.00,0.00,235.40,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOZW1OM1RsRTlQUT09&locationName=_____________________)
GJP9752,NY,PAS,8488553780,10/10/2017,01:26P,EXPIRED MUNI METER,01/25/2018,65.00,60.00,45.16,0.00,0.00,170.16,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOZW1NMFRVRTlQUT09&locationName=_____________________)
M94HMG,NJ,PAS,8488554205,10/12/2017,01:55P,FAIL TO DSPLY MUNI METER RECPT,03/29/2018,65.00,60.00,43.14,0.00,0.00,168.14,013,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPUkVsM1RsRTlQUT09&locationName=_____________________)
22463MK,NY,COM,8488554333,10/12/2017,05:31P,CROSSWALK,03/01/2018,115.00,60.00,58.92,0.00,0.00,233.92,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZPUkUxNlRYYzlQUT09&locationName=_____________________)
S72MYB,NJ,PAS,4755561425,11/03/2021,10:25A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1VNVVWVEpOVkZGNVRsRTlQUT09&locationName=_____________________)
JFW7278,NY,PAS,4755561383,11/03/2021,10:24A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1VNVVWVEpOVkUwMFRYYzlQUT09&locationName=_____________________)
KLL4608,NY,PAS,5601013706,09/17/2021,09:01A,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMVVRWGhOZW1OM1RtYzlQUT09&locationName=_____________________)
KLH4781,NY,PAS,5601013718,09/17/2021,09:03A,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMVVRWGhOZW1ONFQwRTlQUT09&locationName=_____________________)
KKF7791,NY,PAS,4018340540,07/22/2021,04:49P,BUS LANE VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkZVd1RVRTlQUT09&locationName=_____________________)
1844HY,KY,PAS,4755561462,11/03/2021,10:26A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1VNVVWVEpOVkZFeVRXYzlQUT09&locationName=_____________________)
GPK7470,NY,PAS,4755561474,11/03/2021,10:26A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1VNVVWVEpOVkZFelRrRTlQUT09&locationName=_____________________)
49286KA,NY,COM,8836264578,09/30/2020,04:33P,BIKE LANE,,115.00,0.00,0.00,15.00,100.00,0.00,040,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkZVelQwRTlQUT09&locationName=_____________________)
42740JZ,NY,COM,8836264955,10/02/2020,11:34A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,052,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkdzeFRsRTlQUT09&locationName=_____________________)
2EC4169,MD,PAS,8851848191,12/12/2020,06:04A,CROSSWALK,,115.00,0.00,0.00,0.00,115.00,0.00,050,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMVVaekJQUkVVMVRWRTlQUT09&locationName=_____________________)
JJJ6703,NY,OMS,8851849493,12/14/2020,02:19P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMVVaekJQVkZFMVRYYzlQUT09&locationName=_____________________)
60137PC,NY,APP,8734125929,10/07/2019,07:35A,NO STOPPING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,115.00,0.00,018,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrNUVSWGxPVkd0NVQxRTlQUT09&locationName=_____________________)
51126JU,NY,COM,8836264876,10/01/2020,04:10P,DOUBLE PARKING,,115.00,0.00,0.00,80.00,35.00,0.00,044,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkdjelRtYzlQUT09&locationName=_____________________)
M47KBG,NJ,PAS,8836264890,10/02/2020,11:09A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPUkdjMVRVRTlQUT09&locationName=_____________________)
KEX4145,NY,PAS,4018340369,07/22/2021,04:44P,BUS LANE VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkUweVQxRTlQUT09&locationName=_____________________)
KLE1206,NY,PAS,4018340515,07/22/2021,04:48P,BUS LANE VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkZWNFRsRTlQUT09&locationName=_____________________)
GCP7499,NY,PAS,8836265030,10/02/2020,12:44P,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,0.00,65.00,0.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPVkVGNlRVRTlQUT09&locationName=_____________________)
JSC4899,NY,PAS,5601013858,09/17/2021,09:47A,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMVVRWGhOZW1jeFQwRTlQUT09&locationName=_____________________)
2824372,ME,PAS,1438401577,05/12/2018,01:52A,NO PARKING-STREET CLEANING,,45.00,10.00,0.00,0.00,0.00,55.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROVkZVelRuYzlQUT09&locationName=_____________________)
